product_id,product_name,transport_method,cost_per_unit,fixed_cost,supplier_id
110895339,"Marketside Roasted Red Pepper Hummus, 10 Oz",Truck,2.41,82.15,1
110895339,"Marketside Roasted Red Pepper Hummus, 10 Oz",Train,2.4,123.29,2
110895339,"Marketside Roasted Red Pepper Hummus, 10 Oz",Air,8.94,99.57,3
105455228,"Marketside Roasted Garlic Hummus, 10 Oz",Truck,1.03,54.13,4
105455228,"Marketside Roasted Garlic Hummus, 10 Oz",Train,1.65,175.3,5
105455228,"Marketside Roasted Garlic Hummus, 10 Oz",Air,6.91,143.46,6
128642379,"Marketside Classic Hummus, 10 Oz",Truck,1.14,65.43,7
128642379,"Marketside Classic Hummus, 10 Oz",Train,1.04,114.13,8
128642379,"Marketside Classic Hummus, 10 Oz",Air,9.73,157.04,9
366126367,"Marketside Everything Hummus, 10 oz",Truck,2.53,183.06,10
366126367,"Marketside Everything Hummus, 10 oz",Train,1.81,155.91,11
366126367,"Marketside Everything Hummus, 10 oz",Air,4.7,155.79,12
160090316,"Price's Jalapeno Dip, 12 Oz.",Truck,2.12,38.4,13
160090316,"Price's Jalapeno Dip, 12 Oz.",Train,1.95,175.79,14
160090316,"Price's Jalapeno Dip, 12 Oz.",Air,7.12,30.61,15
174071300,"Price's Green Chili Dip, 12 Oz.",Truck,1.11,136.92,16
174071300,"Price's Green Chili Dip, 12 Oz.",Train,1.61,53.07,17
174071300,"Price's Green Chili Dip, 12 Oz.",Air,8.74,41.87,18
10294995,"Dean's, French Onion Dip, 16 oz Tub",Truck,2.39,155.2,19
10294995,"Dean's, French Onion Dip, 16 oz Tub",Train,2.2,71.71,20
10294995,"Dean's, French Onion Dip, 16 oz Tub",Air,5.24,139.15,21
37915367,"Marketside Spinach & Artichoke Dip, 16 Oz",Truck,2.21,171.55,22
37915367,"Marketside Spinach & Artichoke Dip, 16 Oz",Train,0.92,119.06,23
37915367,"Marketside Spinach & Artichoke Dip, 16 Oz",Air,7.97,110.91,24
482903957,Fresh Cravings Roasted Red Pepper Hummus 10oz,Truck,1.54,37.65,25
482903957,Fresh Cravings Roasted Red Pepper Hummus 10oz,Train,1.33,103.92,26
482903957,Fresh Cravings Roasted Red Pepper Hummus 10oz,Air,4.38,31.39,27
538183292,"Marketside Buffalo Style Chicken Dip, 11 oz",Truck,1.26,139.34,28
538183292,"Marketside Buffalo Style Chicken Dip, 11 oz",Train,1.89,74.72,29
538183292,"Marketside Buffalo Style Chicken Dip, 11 oz",Air,4.4,126.65,30
628355959,"Marketside Spicy Hummus, 10 oz",Truck,1.85,68.09,31
628355959,"Marketside Spicy Hummus, 10 oz",Train,0.88,105.27,32
628355959,"Marketside Spicy Hummus, 10 oz",Air,9.27,33.23,33
764726416,"Marketside Pine Nut Hummus, 10 oz",Truck,2.37,135.2,34
764726416,"Marketside Pine Nut Hummus, 10 oz",Train,2.41,168.39,35
764726416,"Marketside Pine Nut Hummus, 10 oz",Air,8.27,78.09,36
439259695,"Marketside Cantina Style Salsa, 16 oz",Truck,2.06,61.56,37
439259695,"Marketside Cantina Style Salsa, 16 oz",Train,0.98,160.92,38
439259695,"Marketside Cantina Style Salsa, 16 oz",Air,4.1,172.05,39
825414671,Fresh Cravings Everything Bagel Hummus 10oz,Truck,1.15,131.36,40
825414671,Fresh Cravings Everything Bagel Hummus 10oz,Train,2.5,47.93,41
825414671,Fresh Cravings Everything Bagel Hummus 10oz,Air,6.66,150.91,42
437850228,Fresh Cravings Roasted Garlic Hummus 10 oz,Truck,1.03,132.62,43
437850228,Fresh Cravings Roasted Garlic Hummus 10 oz,Train,1.99,89.08,44
437850228,Fresh Cravings Roasted Garlic Hummus 10 oz,Air,9.31,105.02,45
947277219,Fresh Cravings Honey Jalapeno Hummus 10oz,Truck,1.79,119.5,46
947277219,Fresh Cravings Honey Jalapeno Hummus 10oz,Train,1.62,70.66,47
947277219,Fresh Cravings Honey Jalapeno Hummus 10oz,Air,9.88,115.69,48
789505963,Fresh Cravings Classic Hummus 10oz,Truck,1.04,55.18,49
789505963,Fresh Cravings Classic Hummus 10oz,Train,1.86,42.04,50
789505963,Fresh Cravings Classic Hummus 10oz,Air,4.27,94.26,51
533767006,"Freshness Guaranteed Guacamole, Mild, 8 oz",Truck,1.66,59.93,52
533767006,"Freshness Guaranteed Guacamole, Mild, 8 oz",Train,1.1,95.62,53
533767006,"Freshness Guaranteed Guacamole, Mild, 8 oz",Air,9.94,174.4,54
634219926,"Tabla Fresca Farmstand Fresh Mild Salsa, 16 oz",Truck,1.6,137.01,55
634219926,"Tabla Fresca Farmstand Fresh Mild Salsa, 16 oz",Train,2.04,82.53,56
634219926,"Tabla Fresca Farmstand Fresh Mild Salsa, 16 oz",Air,5.39,52.84,57
562281812,Fresh Cravings Spicy Red Pepper Hummus 10oz,Truck,2.31,83.32,58
562281812,Fresh Cravings Spicy Red Pepper Hummus 10oz,Train,1.92,117.04,59
562281812,Fresh Cravings Spicy Red Pepper Hummus 10oz,Air,4.3,44.59,60
10533232,"Gordo's Original Queso Cheese Dip, 16 oz Tub Brand/ Product Line=Gordo's Count per pack=this item is single, none to list Food Condition=must be refrigerated",Truck,2.26,115.53,61
10533232,"Gordo's Original Queso Cheese Dip, 16 oz Tub Brand/ Product Line=Gordo's Count per pack=this item is single, none to list Food Condition=must be refrigerated",Train,2.32,170.34,62
10533232,"Gordo's Original Queso Cheese Dip, 16 oz Tub Brand/ Product Line=Gordo's Count per pack=this item is single, none to list Food Condition=must be refrigerated",Air,5.95,43.24,63
194597385,"Great Value French Onion Dip, 16 oz Tub",Truck,1.22,37.51,64
194597385,"Great Value French Onion Dip, 16 oz Tub",Train,0.93,44.75,65
194597385,"Great Value French Onion Dip, 16 oz Tub",Air,4.33,115.37,66
523209999,"Marketside Bacon Ranch Cheddar Dip, 16 oz",Truck,1.56,44.12,67
523209999,"Marketside Bacon Ranch Cheddar Dip, 16 oz",Train,2.39,123.52,68
523209999,"Marketside Bacon Ranch Cheddar Dip, 16 oz",Air,4.52,147.77,69
45595344,"Marketside Spinach Dip, 16 Oz",Truck,2.43,183.6,70
45595344,"Marketside Spinach Dip, 16 Oz",Train,2.27,101.77,71
45595344,"Marketside Spinach Dip, 16 Oz",Air,4.36,44.15,72
353746204,"Tabla Fresca Farmstand Cilantro Salsa, 32 Oz",Truck,1.83,171.83,73
353746204,"Tabla Fresca Farmstand Cilantro Salsa, 32 Oz",Train,2.44,103.55,74
